name,id,top_category,rating,review_count,postal_code
,,,,,
Friedman's,friedmans-new-york-57,breakfast_brunch,4,234,10018
,,,,,
Sergimmo Salumeria,sergimmo-salumeria-new-york,italian,4,503,10018
,,,,,
Jonny's Panini,jonnys-panini-new-york-2,cafes,4.5,129,10018
,,,,,
Ovest Pizzoteca,ovest-pizzoteca-new-york,pizza,4,394,10001
,,,,,
NY Pizza Suprema,ny-pizza-suprema-new-york,pizza,4,1118,10001
,,,,,
Riko Peruvian Cuisine,riko-peruvian-cuisine-new-york-2,peruvian,4,332,10001
,,,,,
Jun-Men Ramen Bar,jun-men-ramen-bar-new-york,ramen,4,300,10001
,,,,,
Go! Go! Curry!,go-go-curry-new-york,japanese,4,1166,10018
,,,,,
Rocket Pig,rocket-pig-new-york,newamerican,4.5,134,10001
,,,,,
Best Bagel and Coffee,best-bagel-and-coffee-new-york,bagels,4.5,1224,10001
,,,,,
Taqueria Tehuitzingo,taqueria-tehuitzingo-new-york,mexican,4,243,10036
,,,,,
Rustic Table,rustic-table-new-york,coffee,4.5,172,10036
,,,,,
Shorty's,shortys-new-york,sandwiches,4,529,10036
,,,,,
Chirping Chicken,chirping-chicken-new-york-12,chicken_wings,4.5,59,10036
,,,,,
Pio Pio 8,pio-pio-8-new-york-5,latin,4,1692,10036
,,,,,
The Meatball Shop,the-meatball-shop-new-york-4,italian,4,633,10011
,,,,,
Mémé Mediterranean,mémé-mediterranean-new-york-12,mediterranean,4,78,10036
,,,,,
Kobeyaki,kobeyaki-new-york-2,japanese,4,405,10001
,,,,,
Friedman's,friedmans-new-york-59,newamerican,4,1122,10001
,,,,,
Cafe Hanamizuki,cafe-hanamizuki-new-york,cafes,4,299,10001
,,,,,
Eastwood,eastwood-new-york,bars,4,101,10002
,,,,,
Rice Noodle Cart,rice-noodle-cart-new-york,foodstands,4.5,56,10002
,,,,,
L.E.S kitchen,l-e-s-kitchen-new-york,burgers,4.5,190,10002
,,,,,
Les Crêpes & Taqueria,les-crêpes-and-taqueria-new-york,mexican,4.5,39,10002
,,,,,
Sam's Spring Roll,sams-spring-roll-new-york,asianfusion,4,91,10002
,,,,,
Lam Zhou Handmade Noodle,lam-zhou-handmade-noodle-new-york-2,chinese,4,967,10002
,,,,,
Kopitiam,kopitiam-new-york,malaysian,4.5,154,10002
,,,,,
Kiki's,kikis-new-york,greek,4.5,214,10002
,,,,,
Cheeky Sandwiches,cheeky-sandwiches-new-york,sandwiches,4.5,811,10002
,,,,,
La Contenta,la-contenta-new-york,mexican,4.5,311,10002
,,,,,
Kottu House,kottu-house-new-york,srilankan,4.5,165,10002
,,,,,
Cafe Katja,cafe-katja-new-york,pubs,4.5,642,10002
,,,,,
Super Taste,super-taste-new-york,chinese,4,358,10002
,,,,,
Mazeish Grill,mazeish-grill-new-york-2,mediterranean,4.5,117,10002
,,,,,
goa taco,goa-taco-new-york,mexican,4.5,303,10002
,,,,,
Vanessa's Dumpling House,vanessas-dumpling-house-new-york-2,chinese,4,1917,10002
,,,,,
Shu Jiao Fu Zhou Cuisine Restaurant,shu-jiao-fu-zhou-cuisine-restaurant-new-york,chinese,4.5,289,10002
,,,,,
Rabbit House,rabbit-house-new-york,japanese,5,27,10002
,,,,,
Simple,simple-new-york-2,japanese,4.5,114,10002
,,,,,
Wolfnights,wolfnights-new-york,sandwiches,4,357,10002
,,,,,
Ngam,ngam-new-york,thai,4,1018,10003
,,,,,
Han Dynasty,han-dynasty-new-york,szechuan,4,776,10003
,,,,,
99 Miles to Philly,99-miles-to-philly-new-york-2,sandwiches,4,543,10003
,,,,,
BaoHaus,baohaus-new-york-2,chinese,3.5,1431,10003
,,,,,
Momofuku Ssam Bar,momofuku-ssam-bar-new-york-5,newamerican,4,2039,10003
,,,,,
Bite,bite-new-york-3,sandwiches,4,530,10003
,,,,,
The Halal Guys,the-halal-guys-new-york-8,mideastern,4,522,10003
,,,,,
Love Mamak,love-mamak-new-york-2,thai,4,2008,10003
,,,,,
Dos Toros Taqueria,dos-toros-taqueria-new-york,mexican,4,1242,10003
,,,,,
Ippudo NY,ippudo-ny-new-york,ramen,4,8487,10003
,,,,,
Soba-ya,soba-ya-new-york,japanese,4,1113,10003
,,,,,
Biang!,biang-new-york-2,chinese,4,149,10003
,,,,,
Ichabod's,ichabods-new-york,newamerican,4,436,10003
,,,,,
Artichoke Basille's Pizza,artichoke-basilles-pizza-new-york-2,pizza,4,3258,10003
,,,,,
Cha-An,cha-an-new-york,japanese,4,1287,10003
,,,,,
Yakitori Taisho,yakitori-taisho-new-york,sushi,3.5,1395,10003
,,,,,
The Bao,the-bao-new-york,chinese,4,614,10003
,,,,,
Otto's Tacos,ottos-tacos-new-york,mexican,4,576,10003
,,,,,
The Hummus & Pita,the-hummus-and-pita-new-york-2,mediterranean,4,144,10003
,,,,,
Mark,mark-new-york,burgers,4,961,10003
,,,,,
The GoGo Grill,the-gogo-grill-new-york,foodtrucks,4.5,86,10004
,,,,,
